"Year","Month","date","tube","temperature"
2015,"August",2015-08-01,"Victoria",25.47
2015,"September",2015-09-01,"Victoria",25.03
2015,"October",2015-10-01,"Victoria",24.51
2015,"November",2015-11-01,"Victoria",23.33
2015,"December",2015-12-01,"Victoria",22.93
2016,"January",2016-01-01,"Victoria",21
2016,"February",2016-02-01,"Victoria",20.94
2016,"March",2016-03-01,"Victoria",21.01
2016,"April",2016-04-01,"Victoria",21.96
2016,"May",2016-05-01,"Victoria",24
2016,"June",2016-06-01,"Victoria",25.41
2016,"July",2016-07-01,"Victoria",27.1
2016,"August",2016-08-01,"Victoria",28.03
2016,"September",2016-09-01,"Victoria",27.93
2016,"October",2016-10-01,"Victoria",25.81
2016,"November",2016-11-01,"Victoria",23.35
2016,"December",2016-12-01,"Victoria",22.69
2017,"January",2017-01-01,"Victoria",20.51
2017,"February",2017-02-01,"Victoria",21.7
2017,"March",2017-03-01,"Victoria",23.63
2017,"April",2017-04-01,"Victoria",23.96
2017,"May",2017-05-01,"Victoria",25.4
2017,"June",2017-06-01,"Victoria",27.65
2017,"July",2017-07-01,"Victoria",28.54
2017,"August",2017-08-01,"Victoria",28.18
2017,"September",2017-09-01,"Victoria",27.51
2017,"October",2017-10-01,"Victoria",28.04
2017,"November",2017-11-01,"Victoria",26.68
2017,"December",2017-12-01,"Victoria",24.51
2018,"January",2018-01-01,"Victoria",24.21
2018,"February",2018-02-01,"Victoria",22.82
2018,"March",2018-03-01,"Victoria",22.6
2018,"April",2018-04-01,"Victoria",24.37
2018,"May",2018-05-01,"Victoria",26.31
2018,"June",2018-06-01,"Victoria",27.69
2018,"July",2018-07-01,"Victoria",29.33
2013,"January",2013-01-01,"Waterloo and City",16.4
2013,"February",2013-02-01,"Waterloo and City",17.1
2013,"March",2013-03-01,"Waterloo and City",16.7
2013,"April",2013-04-01,"Waterloo and City",18.4
2013,"May",2013-05-01,"Waterloo and City",20.3
2013,"June",2013-06-01,"Waterloo and City",22.1
2013,"July",2013-07-01,"Waterloo and City",24.9
2013,"August",2013-08-01,"Waterloo and City",25.1
2013,"September",2013-09-01,"Waterloo and City",23.8
2013,"October",2013-10-01,"Waterloo and City",23.1
2013,"November",2013-11-01,"Waterloo and City",20.9
2013,"December",2013-12-01,"Waterloo and City",19.4
2014,"January",2014-01-01,"Waterloo and City",19.1
2014,"February",2014-02-01,"Waterloo and City",18.7
2014,"March",2014-03-01,"Waterloo and City",20.1
2014,"April",2014-04-01,"Waterloo and City",21.3
2014,"May",2014-05-01,"Waterloo and City",22.2
2014,"June",2014-06-01,"Waterloo and City",24.1
2014,"July",2014-07-01,"Waterloo and City",25.8
2014,"August",2014-08-01,"Waterloo and City",25.2
2014,"September",2014-09-01,"Waterloo and City",25.3
2014,"October",2014-10-01,"Waterloo and City",23.9
2014,"November",2014-11-01,"Waterloo and City",21.7
2014,"December",2014-12-01,"Waterloo and City",19.8
2015,"January",2015-01-01,"Waterloo and City",18.9
2015,"February",2015-02-01,"Waterloo and City",18.49
2015,"March",2015-03-01,"Waterloo and City",19.41
2015,"April",2015-04-01,"Waterloo and City",20.86
2015,"May",2015-05-01,"Waterloo and City",21.9
2015,"June",2015-06-01,"Waterloo and City",23.83
2015,"July",2015-07-01,"Waterloo and City",25.22
2015,"August",2015-08-01,"Waterloo and City",25.12
2015,"September",2015-09-01,"Waterloo and City",23.95
2015,"October",2015-10-01,"Waterloo and City",23.13
2015,"November",2015-11-01,"Waterloo and City",21.95
2015,"December",2015-12-01,"Waterloo and City",21.42
2016,"January",2016-01-01,"Waterloo and City",19.4
2016,"February",2016-02-01,"Waterloo and City",19.1
2016,"March",2016-03-01,"Waterloo and City",19.27
2016,"April",2016-04-01,"Waterloo and City",20.34
2016,"May",2016-05-01,"Waterloo and City",22.55
2016,"June",2016-06-01,"Waterloo and City",23.81
2016,"July",2016-07-01,"Waterloo and City",25.3
2016,"August",2016-08-01,"Waterloo and City",25.95
2016,"September",2016-09-01,"Waterloo and City",26.03
2016,"October",2016-10-01,"Waterloo and City",23.46
2016,"November",2016-11-01,"Waterloo and City",21.12
2016,"December",2016-12-01,"Waterloo and City",20.13
2017,"January",2017-01-01,"Waterloo and City",18.19
2017,"February",2017-02-01,"Waterloo and City",18.86
2017,"March",2017-03-01,"Waterloo and City",20.46
2017,"April",2017-04-01,"Waterloo and City",21.25
2017,"May",2017-05-01,"Waterloo and City",22.53
2017,"June",2017-06-01,"Waterloo and City",24.91
2017,"July",2017-07-01,"Waterloo and City",25.53
2017,"August",2017-08-01,"Waterloo and City",25.17
2017,"September",2017-09-01,"Waterloo and City",24.2
2017,"October",2017-10-01,"Waterloo and City",23.5
2017,"November",2017-11-01,"Waterloo and City",21.14
2017,"December",2017-12-01,"Waterloo and City",19.26
2018,"January",2018-01-01,"Waterloo and City",19
2018,"February",2018-02-01,"Waterloo and City",20.28
2018,"March",2018-03-01,"Waterloo and City",23.55
2018,"April",2018-04-01,"Waterloo and City",24.6
2018,"May",2018-05-01,"Waterloo and City",24.88
2018,"June",2018-06-01,"Waterloo and City",NA
2018,"July",2018-07-01,"Waterloo and City",NA
2013,"January",2013-01-01,"Sub-Surface Lines",11.9
2013,"February",2013-02-01,"Sub-Surface Lines",11.3
2013,"March",2013-03-01,"Sub-Surface Lines",11.4
2013,"April",2013-04-01,"Sub-Surface Lines",15.3
2013,"May",2013-05-01,"Sub-Surface Lines",18.3
2013,"June",2013-06-01,"Sub-Surface Lines",21.3
2013,"July",2013-07-01,"Sub-Surface Lines",26.3
2013,"August",2013-08-01,"Sub-Surface Lines",25.3
2013,"September",2013-09-01,"Sub-Surface Lines",22.4
2013,"October",2013-10-01,"Sub-Surface Lines",20.4
2013,"November",2013-11-01,"Sub-Surface Lines",15.9
2013,"December",2013-12-01,"Sub-Surface Lines",14.7
2014,"January",2014-01-01,"Sub-Surface Lines",14.3
2014,"February",2014-02-01,"Sub-Surface Lines",14.2
2014,"March",2014-03-01,"Sub-Surface Lines",16.7
2014,"April",2014-04-01,"Sub-Surface Lines",19.1
2014,"May",2014-05-01,"Sub-Surface Lines",20.4
2014,"June",2014-06-01,"Sub-Surface Lines",23.8
2014,"July",2014-07-01,"Sub-Surface Lines",26.2
2014,"August",2014-08-01,"Sub-Surface Lines",23.9
2014,"September",2014-09-01,"Sub-Surface Lines",23.5
2014,"October",2014-10-01,"Sub-Surface Lines",20.6
2014,"November",2014-11-01,"Sub-Surface Lines",17.2
2014,"December",2014-12-01,"Sub-Surface Lines",13.9
2015,"January",2015-01-01,"Sub-Surface Lines",12.9
2015,"February",2015-02-01,"Sub-Surface Lines",12.6
2015,"March",2015-03-01,"Sub-Surface Lines",14.7
2015,"April",2015-04-01,"Sub-Surface Lines",18
2015,"May",2015-05-01,"Sub-Surface Lines",19.6
2015,"June",2015-06-01,"Sub-Surface Lines",22.6
2015,"July",2015-07-01,"Sub-Surface Lines",24.7
2015,"August",2015-08-01,"Sub-Surface Lines",24.3
2015,"September",2015-09-01,"Sub-Surface Lines",21.6
2015,"October",2015-10-01,"Sub-Surface Lines",19.8
2015,"November",2015-11-01,"Sub-Surface Lines",17.8
2015,"December",2015-12-01,"Sub-Surface Lines",17
2016,"January",2016-01-01,"Sub-Surface Lines",13.79
2016,"February",2016-02-01,"Sub-Surface Lines",13.4
2016,"March",2016-03-01,"Sub-Surface Lines",13.79
2016,"April",2016-04-01,"Sub-Surface Lines",16.03
2016,"May",2016-05-01,"Sub-Surface Lines",20.33
2016,"June",2016-06-01,"Sub-Surface Lines",21.86
2016,"July",2016-07-01,"Sub-Surface Lines",24.68
2016,"August",2016-08-01,"Sub-Surface Lines",25
2016,"September",2016-09-01,"Sub-Surface Lines",24.36
2016,"October",2016-10-01,"Sub-Surface Lines",19.42
2016,"November",2016-11-01,"Sub-Surface Lines",15.31
2016,"December",2016-12-01,"Sub-Surface Lines",14.47
2017,"January",2017-01-01,"Sub-Surface Lines",11.99
2017,"February",2017-02-01,"Sub-Surface Lines",13.3
2017,"March",2017-03-01,"Sub-Surface Lines",15.98
2017,"April",2017-04-01,"Sub-Surface Lines",17.79
2017,"May",2017-05-01,"Sub-Surface Lines",20.26
2017,"June",2017-06-01,"Sub-Surface Lines",24.15
2017,"July",2017-07-01,"Sub-Surface Lines",24.67
2017,"August",2017-08-01,"Sub-Surface Lines",23.57
2017,"September",2017-09-01,"Sub-Surface Lines",24.35
2017,"October",2017-10-01,"Sub-Surface Lines",23.18
2017,"November",2017-11-01,"Sub-Surface Lines",16.04
2017,"December",2017-12-01,"Sub-Surface Lines",13.27
2018,"January",2018-01-01,"Sub-Surface Lines",13.49
2018,"February",2018-02-01,"Sub-Surface Lines",11.62
2018,"March",2018-03-01,"Sub-Surface Lines",12.74
2018,"April",2018-04-01,"Sub-Surface Lines",17.28
2018,"May",2018-05-01,"Sub-Surface Lines",20.18
2018,"June",2018-06-01,"Sub-Surface Lines",NA
2018,"July",2018-07-01,"Sub-Surface Lines",NA
